Ensembl_ID	mean_alive	mean_dead	log2_fc	p_value	p_adj
ENSG00000204228.4	2.300951968917266	2.2627977427279276	0.03815422618933839	0.11934680371658474	0.5735209437256246
ENSG00000204231.11	2.306568144390414	2.275681943822228	0.030886200568185807	0.04150849352501926	0.42922403093986405
ENSG00000204237.5	2.41804617499285	2.3977909601953784	0.0202552147974715	0.2498797945519028	0.694120845252199
ENSG00000204252.14	1.9917974995117314	1.8776425280067501	0.11415497150498122	0.040331248533341184	0.42428387857007205
ENSG00000204253.4	1.6281343663374568	1.6069377807379153	0.021196585599541518	0.3194888300398173	0.7374305790088108
ENSG00000204256.14	2.5296511939087836	2.4943106729011477	0.03534052100763585	0.005807815962278732	0.293834694588281
ENSG00000204257.15	2.5884699661669943	2.5459336417387384	0.042536324428255945	0.20914821481525353	0.6615839156772381
ENSG00000204261.9	1.4078496491123325	1.3037692260753955	0.10408042303693699	0.005968991652102152	0.2966007062557911
ENSG00000204262.14	2.0118452374722318	2.073053774222945	-0.06120853675071336	0.23246463003850212	0.6779602262567058
ENSG00000204264.12	2.541280448310663	2.465228786775136	0.0760516615355269	0.004680865607378647	0.2925548396839458
ENSG00000204267.16	1.8156265671774474	1.7009862003980842	0.11464036677936318	0.0013848621692991417	0.23909138696058477
ENSG00000204272.13	2.4905323976993268	2.4943995127386214	-0.0038671150392945997	0.8416275165332503	0.9599312376178277
ENSG00000204287.14	3.3117269280591852	3.270775056802823	0.04095187125636235	0.09018665669041995	0.5252186487228203
ENSG00000204291.11	1.6498610085053043	1.6462467104057388	0.0036142980995654828	0.9254539650795189	0.9847164061353438
ENSG00000204301.6	1.1018193516909234	1.0580151068166446	0.04380424487427881	0.08089136896845697	0.5083118844857276
ENSG00000204304.12	2.595647807601806	2.5565945831470556	0.039053224454750346	0.02165550262575186	0.3700870788015877
ENSG00000204305.14	1.6266682953710325	1.5658376963059712	0.060830599065061275	0.08342631744255484	0.5106700442499706
ENSG00000204308.8	2.9827440626566726	2.971931380727973	0.010812681928699774	0.34167520773873583	0.7474889944407982
ENSG00000204310.13	2.3605997786804687	2.3323140497437667	0.028285728936702004	0.043482933146269644	0.43504444137932113
ENSG00000204314.12	1.2033962110009297	1.089095278224859	0.11430093277607067	0.009823527589019844	0.3231379539542297
ENSG00000204315.4	2.021001427377618	1.976132017756554	0.04486940962106378	0.01901193713727835	0.359828869054077
ENSG00000204334.7	1.635651716219375	1.6314336286868323	0.004218087532542825	0.908962193081648	0.9823499521661206
ENSG00000204335.4	1.294078840690302	1.2090814827561458	0.0849973579341563	0.18339430927470418	0.6407485775918034
ENSG00000204344.14	1.5609929701562917	1.5096668151016077	0.051326155054683964	0.00766596045894503	0.3162734782308137
ENSG00000204348.10	2.1300944255229823	2.0840505411264454	0.04604388439653695	0.02025164121192959	0.36900763254857327
ENSG00000204351.12	2.2113121258166593	2.170630912415861	0.04068121340079811	0.02417403827777658	0.37817015384972674
ENSG00000204356.14	2.653511230937181	2.6316531185123058	0.02185811242487512	0.11934404296320653	0.5735209437256246
ENSG00000204366.4	1.955003031287276	1.916075090492554	0.03892794079472184	0.2355777084206089	0.6814739538000381
ENSG00000204370.13	2.6163956465456173	2.605309159136673	0.011086487408944468	0.46451744524940497	0.8149996368954017
ENSG00000204371.11	2.3878350707407474	2.362114792035437	0.025720278705310573	0.14966940790239636	0.6094769133648501
ENSG00000204381.12	1.6688404675999362	1.6604513033949349	0.008389164205001354	0.8206234160444208	0.9534360303960976
ENSG00000204385.13	2.3971342199728056	2.3736254148488505	0.023508805123955145	0.5559551963865341	0.8536199878076934
ENSG00000204386.12	2.362992998180358	2.3386114769824764	0.024381521197881728	0.2683641383523013	0.7050686059627077
ENSG00000204387.14	2.440345685311251	2.429598037683393	0.010747647627857848	0.6298006766052598	0.8871772053510377
ENSG00000204388.7	2.610243836672303	2.625297662392647	-0.015053825720344083	0.3570095978436221	0.7577046584959396
ENSG00000204389.10	2.517265905130325	2.4266202613809984	0.0906456437493266	0.016235726254935617	0.35036313003629793
ENSG00000204390.10	1.096718338730238	1.0530792863633192	0.043639052366918785	0.09221592755682205	0.5278129438581587
ENSG00000204392.11	2.8227952683587882	2.7993875085979627	0.02340775976082554	0.09865806688197842	0.5396840235116571
ENSG00000204394.13	2.420769188244523	2.4039506468306477	0.016818541413875288	0.3079450149093751	0.7308596104060391
ENSG00000204396.11	1.3708368335618302	1.301492661691985	0.0693441718698451	0.1257069920449326	0.5839643629462865
ENSG00000204397.8	1.69638869386594	1.6873039477943774	0.009084746071562622	0.7999664598142201	0.9477320122143609
ENSG00000204406.14	0.9696092638337777	0.9544501816304739	0.015159082203303753	0.44395918171350024	0.8041946769149075
ENSG00000204421.3	1.771028817519664	1.7989793765416848	-0.027950559022020816	0.6851552644581133	0.9075992488426664
ENSG00000204428.12	1.0540076914214576	1.0561352592983069	-0.0021275678768493123	0.9382808168568002	0.9877577152466389
ENSG00000204435.15	1.7977840824840083	1.7600155321271562	0.037768550356852115	0.10513056179830833	0.5502149667832972
ENSG00000204438.11	2.024246700898851	2.001767376855903	0.022479324042948168	0.2063078486371276	0.6590098646112492
ENSG00000204439.4	1.9733323822115518	1.9621104872532433	0.011221894958308498	0.5521231271259419	0.851611756017031
